source: https://github.com/markomanninen/strongs/blob/master/strongs/nt-strongs.csv
G1	--Alpha
G3642	feebleminded
G3643	despise
G3644	destroyer
G3645	destroy
G3646	burnt offering
G3647	perfect soundness
G3648	entire
G3649	howl
G3650	all
G3651	wholly
G3652	Olympas
G3653	untimely fig
G3654	at all
G3655	shower
G3656	commune
G3657	communication
G3658	company
G3659	eye
G3660	swear
G3661	with one accord
G3662	agree
G3663	of  like passions
G3664	like
G3665	like as
G3666	be  like
G3667	made like to
G3668	likewise
G3669	similitude
G3670	con- fess
G3671	con- fession
G3672	without controversy
G3673	of the same craft
G3674	together
G3675	of one mind
G3676	and even
G3677	dream
G3678	young ass
G3679	cast in teeth
G3680	reproach
G3681	reproach
G3682	Onesimus
G3683	Onespiphorus
G3684	millstone
G3685	have joy
G3686	called
G3687	call
G3688	an ass
G3689	certainly
G3690	vinegar
G3691	sharp
G3692	cave
G3693	after
G3694	after
G3695	arm self
G3696	armour
G3697	what manner  of
G3698	when
G3699	in what place
G3700	appear
G3701	vision
G3702	broiled
G3703	fruit
G3704	because
G3705	sight
G3706	sight
G3707	visible
G3708	behold
G3709	anger
G3710	be angry
G3711	soon angry
G3712	fathom
G3713	covet after
G3714	hill country
G3715	lust
G3716	walk uprightly
G3717	straight
G3718	rightly divide
G3719	come early in the morning
G3720	morning
G3721	early
G3722	early in the morning
G3723	plain
G3724	declare
G3725	border
G3726	adjure
G3727	oath
G3728	oath
G3729	run
G3730	assault
G3731	violence
G3732	bird
G3733	hen
G3734	bound
G3735	hill
G3736	dig
G3737	comfortless
G3738	dance
G3739	one
G3740	as oft as
G3741	holy
G3742	holiness
G3743	holily
G3744	odour
G3745	all
G3746	whomsoever
G3747	bone
G3748	X and
G3749	of earth
G3750	smelling
G3751	loin
G3752	as long  as
G3753	after
G3754	as concerning that
G3755	whiles
G3756	+ long
G3757	where
G3758	ah
G3759	alas
G3760	not
G3761	neither
G3762	any
G3763	neither at any time
G3764	as yet not
G3765	after that
G3766	then
G3767	and (so
G3768	hitherto not
G3769	tail
G3770	heavenly
G3771	from heaven
G3772	air
G3773	Urbanus
G3774	Urias
G3775	ear
G3776	goods
G3777	neither
G3778	he
G3779	after that
G3780	nay
G3781	debtor
G3782	debt
G3783	debt
G3784	behove
G3785	would
G3786	advantageth
G3787	eye-service
G3788	eye
G3789	serpent
G3790	brow
G3791	vex
G3792	gather a company
G3793	company
G3794	stronghold
G3795	fish
G3796	even
G3797	latter
G3798	even(-ing
G3799	appearance
G3800	wages
G3801	which art (is
G3802	entangle
G3803	snare
G3804	affection
G3805	suffer
G3806	affection
G3807	instructor
G3808	child
G3809	chastening
G3810	which corrected
G3811	chasten
G3812	of a child
G3813	(little
G3814	bondmaid
G3815	play
G3816	child
G3817	smite
G3818	Pacatiana
G3819	any while
G3820	old
G3821	oldness
G3822	decay
G3823	+ wrestle
G3824	regeneration
G3825	again
G3826	all at once
G3827	very great
G3828	Pamphylia
G3829	inn
G3830	host
G3831	general assembly
G3832	with all his house
G3833	all  armour
G3834	craftiness
G3835	crafty
G3836	from every quarter
G3837	in all places
G3838	+ in  wise
G3839	always
G3840	on every side
G3841	Almighty
G3842	alway
G3843	by all means
G3844	above
G3845	transgress
G3846	arrive
G3847	breaking
G3848	breaker
G3849	constrain
G3850	comparison
G3851	not  regard
G3852	charge
G3853	charge
G3854	come
G3855	depart
G3856	make a public example
G3857	paradise
G3858	receive
G3859	perverse disputing
G3860	betray
G3861	strange
G3862	ordinance
G3863	provoke to emulation
G3864	upon the sea coast
G3865	neglect
G3866	committed unto
G3867	admonish
G3868	avoid
G3869	sit
G3870	beseech
G3871	hide
G3872	that  which is committed to
G3873	be present
G3874	comfort
G3875	advocate
G3876	disobedience
G3877	attain
G3878	neglect to hear
G3879	look
G3880	receive
G3881	pass
G3882	sea coast
G3883	variableness
G3884	beguile
G3885	that had  the palsy
G3886	feeble
G3887	abide
G3888	comfort
G3889	comfort
G3890	comfort
G3891	contrary to law
G3892	iniquity
G3893	provoke
G3894	provocation
G3895	fall away
G3896	sail by
G3897	nigh unto
G3898	likewise
G3899	go
G3900	fall
G3901	let slip
G3902	sign
G3903	prepare self
G3904	preparation
G3905	continue
G3906	observe
G3907	obervation
G3908	allege
G3909	meet with
G3910	but for a moment
G3911	remove
G3912	as a fool
G3913	madness
G3914	winter
G3915	winter in
G3916	forthwith
G3917	leopard
G3918	come
G3919	privily bring in
G3920	unawares brought in
G3921	creep in unawares
G3922	come in privily
G3923	give
G3924	except
G3925	army
G3926	trouble
G3927	pilgrim
G3928	come
G3929	remission
G3930	bring
G3931	comfort
G3932	virginity
G3933	virgin
G3934	Parthian
G3935	hang down
G3936	assist
G3937	Parmenas
G3938	way
G3939	sojourn in
G3940	sojourning
G3941	foreigner
G3942	parable
G3943	given to wine
G3944	past
G3945	be like unto
G3946	like
G3947	easily provoke
G3948	contention
G3949	anger
G3950	wrath
G3951	stir up
G3952	coming
G3953	platter
G3954	bold (X -ly
G3955	be  bold
G3956	all (manner of
G3957	Easter
G3958	feel
G3959	Patara
G3960	smite
G3961	tread (down
G3962	father
G3963	Patmos
G3964	murderer of fathers
G3965	family
G3966	patriarch
G3967	of fathers
G3968	country
G3969	Patrobas
G3970	received by tradition from fathers
G3971	of fathers
G3972	Paul
G3973	cease
G3974	Paphos
G3975	wax gross
G3976	fetter
G3977	plain
G3978	go afoot
G3979	a-  foot
G3980	hearken
G3981	enticing
G3982	agree
G3983	be an hungered
G3984	assaying
G3985	assay
G3986	temptation
G3987	assay
G3988	persuasion
G3989	depth
G3990	behead
G3991	fifth
G3992	send
G3993	poor
G3994	mother in law
G3995	father in law
G3996	mourn
G3997	mourning
G3998	poor
G3999	five times
G4000	five thousand
G4001	five hundred
G4002	five
G4003	fifteenth
G4004	fifty
G4005	Pentecost
G4006	confidence
G4007	soever
G4008	beyond
G4009	end
G4010	Pergamos
G4011	Perga
G4012	about
G4013	compass
G4014	take away
G4015	shine round
G4016	array
G4017	look  about
G4018	covering
G4019	bind about
G4020	be a busybody
G4021	busybody
G4022	fetch a compass
G4023	+ astonished
G4024	gird (about
G4025	wearing
G4026	avoid
G4027	filth
G4028	blindfold
G4029	be bound  with
G4030	helmet
G4031	+ come by
G4032	hide
G4033	compass round
G4034	shine round about
G4035	remain
G4036	exceeding  sorry
G4037	wait for
G4038	round about
G4039	dwell round about
G4040	neighbour
G4041	peculiar
G4042	place
G4043	go
G4044	pierce through
G4045	fall among
G4046	purchase
G4047	obtain
G4048	rend off
G4049	cumber
G4050	abundance(-ant
G4051	abundance
G4052	(make
G4053	exceeding abundantly above
G4054	more abundantly
G4055	more abundant
G4056	more abundant
G4057	exceedingly
G4058	dove
G4059	circumcise
G4060	bestow upon
G4061	X circumcised
G4062	+ make mad
G4063	run through
G4064	bear  about
G4065	despise
G4066	country  about
G4067	offscouring
G4068	vaunt itself
G4069	Persis
G4070	+ a year ago
G4071	bird
G4072	fly
G4073	rock
G4074	Peter
G4075	stony
G4076	rue
G4077	fountain
G4078	pitch
G4079	rudder
G4080	how great
G4081	clay
G4082	scrip
G4083	cubit
G4084	apprehend
G4085	press down
G4086	enticing words
G4087	be  bitter
G4088	bitterness
G4089	bitter
G4090	bitterly
G4091	Pilate
G4092	be  swollen
G4093	writing table
G4094	charger
G4095	drink
G4096	fatness
G4097	sell
G4098	fail
G4099	Pisidia
G4100	believe
G4101	spike-
G4102	assurance
G4103	believe(-ing
G4104	assure of
G4105	go astray
G4106	deceit
G4107	wandering
G4108	--deceiver
G4109	table
G4110	thing formed
G4111	form
G4112	feigned
G4113	street
G4114	breadth
G4115	make broad
G4116	wide
G4117	broidered hair
G4118	very great
G4119	X above
G4120	plait
G4121	abound
G4122	get an advantage
G4123	covetous
G4124	covetous practices
G4125	side
G4126	sail
G4127	plague
G4128	bundle
G4129	abound
G4130	accomplish
G4131	striker
G4132	flood
G4133	but
G4134	full
G4135	most surely believe
G4136	assurance
G4137	accomplish
G4138	which is put in to fill up
G4139	near
G4140	satisfying
G4141	smite
G4142	boat
G4143	ship
G4144	course
G4145	rich
G4146	abundantly
G4147	be increased with goods
G4148	en-  rich
G4149	riches
G4150	wash
G4151	ghost
G4152	spiritual
G4153	spiritually
G4154	blow
G4155	choke
G4156	strangled
G4157	breath
G4158	garment down to the foot
G4159	whence
G4160	abide
G4161	thing that is made
G4162	deed
G4163	--doer
G4164	divers
G4165	feed
G4166	shepherd
G4167	flock
G4168	flock
G4169	what
G4170	fight
G4171	battle
G4172	city
G4173	ruler of the city
G4174	commonwealth
G4175	conversation
G4176	let conversation be
G4177	citizen
G4178	oft(-en
G4179	manifold more
G4180	much speaking
G4181	at sundry times
G4182	manifold
G4183	abundant
G4184	very pitiful
G4185	costly
G4186	very costly
G4187	in divers manners
G4188	drink
G4189	iniquity
G4190	bad
G4191	more wicked
G4192	pain
G4193	born in Pontus
G4194	Pontius
G4195	Pontus
G4196	Publius
G4197	journey
G4198	--depart
G4199	destroy
G4200	gain
G4201	Porcius
G4202	fornication
G4203	commit
G4204	harlot
G4205	fornicator
G4206	far
G4207	afar off
G4208	farther
G4209	purple
G4210	purple
G4211	seller of purple
G4212	how oft
G4213	drink
G4214	how great (long
G4215	flood
G4216	carried away of the flood
G4217	what
G4218	afore-(any
G4219	+ how long
G4220	whether
G4221	cup
G4222	give  to drink
G4223	Puteoli
G4224	banqueting
G4225	about
G4226	where
G4227	Pudens
G4228	foot
G4229	business
G4230	affair
G4231	occupy
G4232	(common
G4233	officer
G4234	deed
G4235	meek
G4236	meekness
G4237	in ranks
G4238	commit
G4239	meek
G4240	meekness
G4241	become
G4242	ambassage
G4243	be an ambassador
G4244	elder
G4245	elder
G4246	aged
G4247	aged woman
G4248	headlong
G4249	saw asunder
G4250	before
G4251	Prisca
G4252	Priscilla
G4253	above
G4254	bring (forth
G4255	purpose
G4256	prove before
G4257	hear before
G4258	sin already
G4259	porch
G4260	+ be of a great age
G4261	put forward
G4262	sheep
G4263	sheep
G4264	draw
G4265	provide
G4266	be past
G4267	foreknow
G4268	foreknowledge
G4269	forefather
G4270	before ordain
G4271	evident
G4272	first give
G4273	betrayer
G4274	forerunner
G4275	foresee
G4276	first trust
G4277	forewarn
G4278	begin
G4279	promise before
G4280	foretell
G4281	go before (farther
G4282	ordain before
G4283	preach before the gospel
G4284	be better
G4285	prefer
G4286	purpose
G4287	time appointed
G4288	forwardness of mind
G4289	ready
G4290	willingly
G4291	maintain
G4292	provoke
G4293	foretell
G4294	make up beforehand
G4295	be first
G4296	before  preach
G4297	furtherance
G4298	increase
G4299	prefer one before another
G4300	confirm before
G4301	come aforehand
G4302	foretell
G4303	testify beforehand
G4304	meditate before
G4305	take thought beforehand
G4306	provide
G4307	providence
G4308	foresee
G4309	determine before
G4310	suffer before
G4311	accompany
G4312	heady
G4313	go before
G4314	about
G4315	day before the sabbath
G4316	call
G4317	bring
G4318	access
G4319	beg
G4320	go up
G4321	spend
G4322	supply
G4323	in conference add
G4324	i
G4325	spend more
G4326	need
G4327	accept
G4328	expect
G4329	expectation
G4330	suffer
G4331	come nigh
G4332	wait at
G4333	gain
G4334	come
G4335	X pray earnestly
G4336	pray (X earnestly
G4337	attend(-ance
G4338	nail to
G4339	proselyte
G4340	dur- for awhile
G4341	call (for
G4342	attend  continually
G4343	perseverance
G4344	pillow
G4345	consort with
G4346	partiality
G4347	cleave
G4348	offence
G4349	offence
G4350	beat upon
G4351	roll
G4352	worship
G4353	worshipper
G4354	speak to
G4355	receive
G4356	receiving
G4357	abide still
G4358	draw to the shore
G4359	over besides
G4360	be grieved at
G4361	very hungry
G4362	crucify
G4363	beat upon
G4364	make as though
G4365	go before
G4366	beat vehemently against
G4367	bid
G4368	succourer
G4369	add
G4370	run (thither to
G4371	meat
G4372	new
G4373	lately
G4374	bring (to
G4375	lovely
G4376	offering
G4377	call unto
G4378	sprinkling
G4379	touch
G4380	have respect to persons
G4381	respecter of persons
G4382	respect of persons
G4383	appearance
G4384	before appoint
G4385	bind
G4386	before
G4387	former
G4388	purpose
G4389	exhort
G4390	outrun
G4391	+ be before
G4392	cloke
G4393	bring forth
G4394	prophecy
G4395	prophesy
G4396	prophet
G4397	of prophecy
G4398	prophetess
G4399	prevent
G4400	choose
G4401	choose before
G4402	Prochorus
G4403	hinder part
G4404	early
G4405	early
G4406	early
G4407	morning
G4408	forepart
G4409	have the preeminence
G4410	chief (highest
G4411	chief (highest
G4412	before
G4413	before
G4414	ringleader
G4415	birthright
G4416	firstbegotten
G4417	fall
G4418	heel
G4419	pinnacle
G4420	wing
G4421	bird
G4422	frighten
G4423	amazement
G4424	Ptolemais
G4425	fan
G4426	terrify
G4427	spittle
G4428	close
G4429	spit
G4430	dead body
G4431	fall
G4432	poverty
G4433	become poor
G4434	beggar
G4435	oft
G4436	divination
G4437	often
G4438	fight
G4439	gate
G4440	gate
G4441	ask
G4442	fiery
G4443	fire
G4444	tower
G4445	be sick of a fever
G4446	fever
G4447	of fire
G4448	burn
G4449	be red
G4450	red
G4451	burning
G4452	an enclitic particle of indefiniteness; yet
G4453	sell
G4454	colt
G4455	at any time
G4456	blind
G4457	blindness
G4458	haply
G4459	how
G4460	Rahab
G4461	Master
G4462	Lord
G4463	beat
G4464	rod
G4465	serjeant
G4466	Ragau
G4467	lewdness
G4468	mischief
G4469	Raca
G4470	cloth
G4471	Rama
G4472	sprinkle
G4473	sprinkling
G4474	smite
G4475	palm of the hand
G4476	needle
G4477	Rachab
G4478	Rachel
G4479	Rebecca
G4480	chariot
G4481	Remphan
G4482	flow
G4483	command
G4484	Rhegium
G4485	ruin
G4486	break
G4487	+ evil
G4488	Rhesa
G4489	orator
G4490	expressly
G4491	root
G4492	root
G4493	twinkling
G4494	toss
G4495	cast off
G4496	cast (down
G4497	Roboam
G4498	Rhoda
G4499	Rhodes
G4500	with a great noise
G4501	sword
G4502	Reuben
G4503	Ruth
G4504	Rufus
G4505	lane
G4506	deliver
G4507	turpitude
G4508	vile
G4509	filth
G4510	be filthy
G4511	issue
G4512	wrinkle
G4513	Latin
G4514	Roman
G4515	Latin
G4516	Rome
G4517	farewell
G4518	sabachthani
G4519	sabaoth
G4520	rest
G4521	sabbath
G4522	net
G4523	Sadducee
G4524	Sadoc
G4525	move
G4526	sackcloth
G4527	Sala
G4528	Salathiel
G4529	Salamis
G4530	Salim
G4531	move
G4532	Salem
G4533	Salmon
G4534	Salmone
G4535	wave
G4536	trump
G4537	sound
G4538	trumpeter
G4539	Salome
G4540	Samaria
G4541	Samaritan
G4542	of Samaria
G4543	Samothracia
G4544	Samos
G4545	Samuel
G4546	Samson
G4547	sandal
G4548	board
G4549	Saul
G4550	bad
G4551	Sapphira
G4552	sapphire
G4553	basket
G4554	Sardis
G4555	sardine
G4556	sardius
G4557	sardonyx
G4558	Sarepta
G4559	carnal
G4560	fleshly
G4561	carnal(-ly
G4562	Saruch
G4563	sweep
G4564	Sara
G4565	Saron
G4566	Satan
G4567	Satan
G4568	measure
G4569	Saul
G4570	go out
G4571	thee
G4572	thee
G4573	worship
G4574	devotion
G4575	Augustus
G4576	devout
G4577	chain
G4578	earthquake
G4579	move
G4580	Secundus
G4581	Seleucia
G4582	moon
G4583	be a lunatic
G4584	Semei
G4585	fine flour
G4586	grave
G4587	gravity
G4588	Sergius
G4589	Seth
G4590	Sem
G4591	signify
G4592	miracle
G4593	note
G4594	this day
G4595	be corrupted
G4596	silk
G4597	moth
G4598	motheaten
G4599	strengthen
G4600	cheek
G4601	keep close (secret
G4602	silence
G4603	iron
G4604	iron
G4605	Sidon
G4606	of Sidon
G4607	murderer
G4608	strong drink
G4609	Silas
G4610	Silvanus
G4611	Siloam
G4612	apron
G4613	Simon
G4614	Sina
G4615	mustard
G4616	linen
G4617	sift
G4618	fatted
G4619	fatling
G4620	portion of meat
G4621	corn
G4622	Sion
G4623	dumb
G4624	offend
G4625	occasion to fall
G4626	dig
G4627	boat
G4628	leg
G4629	raiment
G4630	Sceva
G4631	tackling
G4632	goods
G4633	habitation
G4634	tabernacles
G4635	tent-maker
G4636	tabernacle
G4637	dwell
G4638	tabernacle
G4639	shadow
G4640	leap
G4641	hardness of heart
G4642	fierce
G4643	hardness
G4644	stiffnecked
G4645	harden
G4646	crooked
G4647	thorn
G4648	consider
G4649	mark
G4650	disperse abroad
G4651	scorpion
G4652	dark
G4653	dark
G4654	darken
G4655	darkness
G4656	be full of darkness
G4657	dung
G4658	Scythian
G4659	of a sad countenance
G4660	trouble
G4661	spoil
G4662	eaten of worms
G4663	worm
G4664	emerald
G4665	emerald
G4666	myrrh
G4667	Smyrna
G4668	in Smyrna
G4669	mingle with myrrh
G4670	Sodom
G4671	thee
G4672	Solomon
G4673	bier
G4674	thine
G4675	X home
G4676	handkerchief
G4677	Susanna
G4678	wisdom
G4679	cunningly devised
G4680	wise
G4681	Spain
G4682	rend
G4683	wrap in swaddling clothes
G4684	live in pleasure
G4685	draw
G4686	band
G4687	sow
G4688	executioner
G4689	be offered
G4690	issue
G4691	babbler
G4692	(make
G4693	cave
G4694	spot )
G4695	defile
G4696	spot
G4697	have  compassion
G4698	bowels
G4699	spunge
G4700	ashes
G4701	seed
G4702	corn
G4703	seed
G4704	do  diligence
G4705	diligent
G4706	very diligently
G4707	more diligent
G4708	more carefully
G4709	diligently
G4710	business
G4711	basket
G4712	furlong
G4713	pot
G4714	dissension
G4715	piece of money
G4716	cross
G4717	crucify
G4718	grapes
G4719	ear
G4720	Stachys
G4721	roof
G4722	bear
G4723	barren
G4724	avoid
G4725	garland
G4726	groaning
G4727	with grief
G4728	strait
G4729	distress
G4730	anguish
G4731	stedfast
G4732	establish
G4733	stedfastness
G4734	Stephanas
G4735	crown
G4736	Stephen
G4737	crown
G4738	breast
G4739	stand
G4740	stedfastness
G4741	fix
G4742	mark
G4743	moment
G4744	shining
G4745	porch
G4746	branch
G4747	element
G4748	walk
G4749	long clothing
G4750	edge
G4751	stomach
G4752	warfare
G4753	army
G4754	soldier
G4755	captain
G4756	host
G4757	soldier
G4758	choose to be a soldier
G4759	captain of the guard
G4760	army
G4761	wrest
G4762	convert
G4763	live deliciously
G4764	delicacy
G4765	sparrow
G4766	make bed
G4767	hateful
G4768	lower
G4769	pillar
G4770	Stoick
G4771	thou
G4772	kindred
G4773	cousin
G4774	permission
G4775	sit with
G4776	sit  together
G4777	be partaker of afflictions
G4778	suffer affliction with
G4779	call together
G4780	cover
G4781	bow down
G4782	go down with
G4783	agreement
G4784	consent
G4785	number with
G4786	mix with
G4787	stir up
G4788	conclude
G4789	fellow -heir
G4790	communicate  with
G4791	companion
G4792	carry
G4793	compare among
G4794	bow together
G4795	chance
G4796	rejoice in
G4797	confound
G4798	have dealings with
G4799	confusion
G4800	live with
G4801	join together
G4802	dispute
G4803	disputation
G4804	disputer
G4805	yokefellow
G4806	quicken together with
G4807	sycamine tree
G4808	fig tree
G4809	sycamore tree
G4810	fig
G4811	accuse falsely
G4812	spoil
G4813	rob
G4814	commune (confer
G4815	catch
G4816	gather (together
G4817	reason with
G4818	be grieved
G4819	be
G4820	confer
G4821	reign with
G4822	compact
G4823	consult
G4824	consultation
G4825	counsellor
G4826	Simeon
G4827	fellow disciple
G4828	testify unto
G4829	be partaker with
G4830	partaker
G4831	follower together
G4832	conformed to
G4833	make conformable unto
G4834	have compassion
G4835	having compassion one of another
G4836	come together
G4837	comfort together
G4838	take with
G4839	continue with
G4840	be here present with
G4841	suffer with
G4842	send with
G4843	embrace
G4844	drink with
G4845	come
G4846	choke
G4847	fellow- citizen
G4848	go with
G4849	company
G4850	presbyter
G4851	be better for
G4852	consent unto
G4853	countryman
G4854	planted together
G4855	spring up with
G4856	agree (together
G4857	concord
G4858	music
G4859	consent
G4860	reckon
G4861	like-minded
G4862	beside
G4863	+ accompany
G4864	assembly
G4865	strive together with
G4866	labour with
G4867	call  together
G4868	reckon
G4869	fellowprisoner
G4870	follow
G4871	assemble together
G4872	come up with
G4873	sit (down
G4874	(have
G4875	refresh with
G4876	befall
G4877	meet
G4878	help
G4879	carry  away with
G4880	be dead  with
G4881	perish with
G4882	send with
G4883	be fitly framed  together
G4884	catch
G4885	grow together
G4886	band
G4887	be bound with
G4888	glorify together
G4889	fellowservant
G4890	run together
G4891	raise up together
G4892	council
G4893	conscience
G4894	consider
G4895	be with
G4896	gather together
G4897	go in with
G4898	companion in travel
G4899	elected together with
G4900	+ set at one again
G4901	also bear witness
G4902	accompany
G4903	help  with
G4904	companion in labour
G4905	accompany
G4906	eat with
G4907	knowledge
G4908	prudent
G4909	allow
G4910	feast with
G4911	rise up together
G4912	constrain
G4913	delight
G4914	custom
G4915	equal
G4916	bury with
G4917	break
G4918	throng
G4919	break
G4920	consider
G4921	approve
G4922	journey with
G4923	company
G4924	dwell together
G4925	build together
G4926	talk with
G4927	join hard
G4928	anguish
G4929	appoint
G4930	end
G4931	end
G4932	short
G4933	keep
G4934	agree
G4935	a few words
G4936	run (together
G4937	break
G4938	destruction
G4939	brought up with
G4940	come at
G4941	Syntyche
G4942	dissemble with
G4943	help together
G4944	travail in pain together
G4945	comspiracy
G4946	Syracuse
G4947	Syria
G4948	Syrian
G4949	Syrophenician
G4950	quicksands
G4951	drag
G4952	throw down
G4953	token
G4954	of the same body
G4955	make insurrection with
G4956	of commendation
G4957	crucify with
G4958	short
G4959	groan together
G4960	answer to
G4961	fellowsoldier
G4962	gather
G4963	+ band together
G4964	conform to
G4965	Sychar
G4966	Sychem
G4967	slaughter
G4968	slain beast
G4969	kill
G4970	exceeding
G4971	exceedingly
G4972	(set a
G4973	seal
G4974	ancle bone
G4975	almost
G4976	fashion
G4977	break
G4978	division
G4979	small cord
G4980	empty
G4981	school
G4982	heal
G4983	bodily
G4984	bodily
G4985	bodily
G4986	Sopater
G4987	heap
G4988	Sosthenes
G4989	Sosipater
G4990	saviour
G4991	deliver
G4992	salvation
G4993	be in right mind
G4994	teach to be sober
G4995	sound mind
G4996	soberly
G4997	soberness
G4998	discreet
G4999	taverns
G5000	Tabitha
G5001	order
G5002	set
G5003	be afflicted
G5004	misery
G5005	wretched
G5006	weight of a talent
G5007	talent
G5008	talitha
G5009	secret chamber
G5010	order
G5011	base
G5012	humbleness of mind
G5013	abase
G5014	humiliation
G5015	trouble
G5016	trouble
G5017	stir
G5018	of Tarsus
G5019	Tarsus
G5020	cast down to hell
G5021	addict
G5022	bull
G5023	+ afterward
G5024	even thus
G5025	hence
G5026	her
G5027	X bury
G5028	sepulchre
G5029	peradventure
G5030	hastily
G5031	shortly
G5032	out
G5033	+ with all speed
G5034	+ quickly
G5035	lightly
G5036	swift
G5037	also
G5038	wall
G5039	infallible proof
G5040	little children
G5041	bear children
G5042	childbearing
G5043	child
G5044	bring up children
G5045	carpenter
G5046	of full age
G5047	perfection
G5048	consecrate
G5049	to the end
G5050	perfection
G5051	finisher
G5052	bring fruit to perfection
G5053	be dead
G5054	death
G5055	accomplish
G5056	+ continual
G5057	publican
G5058	receipt of custom
G5059	wonder
G5060	Tertius
G5061	Tertullus
G5062	forty
G5063	(+ full
G5064	four
G5065	fourteenth
G5066	four days
G5067	four
G5068	foursquare
G5069	quaternion
G5070	four thousand
G5071	four hundred
G5072	four months
G5073	fourfold
G5074	fourfooted beast
G5075	tetrarch
G5076	tetrarch
G5077	turn to ashes
G5078	art
G5079	builder
G5080	melt
G5081	clearly
G5082	so great
G5083	hold fast
G5084	hold
G5085	Tiberias
G5086	Tiberius
G5087	+ advise
G5088	bear
G5089	pluck
G5090	Timæus
G5091	honour
G5092	honour
G5093	dear
G5094	costliness
G5095	Timotheus
G5096	Timon
G5097	punish
G5098	punishment
G5099	be punished with
G5100	a
G5101	every man
G5102	title
G5103	Titus
G5104	(used only with other particles in the comparative
G5105	there-fore
G5106	then
G5107	such
G5108	like
G5109	wall
G5110	usury
G5111	be bold
G5112	the more boldly
G5113	presumptuous
G5114	sharper
G5115	bow
G5116	topaz
G5117	coast
G5118	as large
G5119	that time
G5120	his
G5121	contrariwise
G5122	named
G5123	that is
G5124	here
G5125	such
G5126	him
G5127	here
G5128	such
G5129	here(-by
G5130	such
G5131	goat
G5132	bank
G5133	exchanger
G5134	wound
G5135	wound
G5136	opened
G5137	neck
G5138	rock
G5139	Trachonitis
G5140	three
G5141	be afraid
G5142	bring up
G5143	have course
G5144	thirty
G5145	three hundred
G5146	brier
G5147	path
G5148	space of three years
G5149	gnash
G5150	three months
G5151	three times
G5152	third loft
G5153	three thousand
G5154	third
G5155	of hair
G5156	+ tremble
G5157	turning
G5158	as
G5159	suffer the manners
G5160	food
G5161	Trophimus
G5162	nurse
G5163	path
G5164	course
G5165	dish
G5166	gather
G5167	turtle-dove
G5168	eye
G5169	eye
G5170	Tryphena
G5171	live in pleasure
G5172	delicately
G5173	Tryphosa
G5174	Troas
G5175	Trogyllium
G5176	eat
G5177	be
G5178	torture
G5179	en-ample
G5180	beat
G5181	Tyrannus
G5182	trouble
G5183	of Tyre
G5184	Tyre
G5185	blind
G5186	blind
G5187	high-minded
G5188	smoke
G5189	tempestuous
G5190	Tychicus
G5191	jacinth
G5192	jacinth
G5193	of glass
G5194	glass
G5195	use despitefully
G5196	harm
G5197	despiteful
G5198	be in health
G5199	sound
G5200	green
G5201	water-pot
G5202	drink water
G5203	have the dropsy
G5204	water
G5205	rain
G5206	adoption (of children
G5207	child
G5208	matter
G5209	ye
G5210	ye
G5211	Hymenæus
G5212	your
G5213	ye
G5214	sing a hymn
G5215	hymn
G5216	ye
G5217	depart
G5218	obedience
G5219	hearken
G5220	which hath an husband
G5221	meet
G5222	meeting
G5223	goods
G5224	goods
G5225	after
G5226	submit self
G5227	adversary
G5228	(+ exceeding
G5229	exalt self
G5230	+ pass the flower of  age
G5231	far above
G5232	grow exceedingly
G5233	go beyond
G5234	beyond measure
G5235	exceeding
G5236	abundance
G5237	wink at
G5238	beyond
G5239	stretch beyond
G5240	run over
G5241	make intercession for
G5242	better
G5243	pride
G5244	proud
G5245	more than conquer
G5246	great swelling
G5247	authority
G5248	abound much more
G5249	beyond measure
G5250	be exceeding abundant
G5251	highly exalt
G5252	think more highly
G5253	upper chamber
G5254	suffer
G5255	obedient
G5256	minister
G5257	minister
G5258	sleep
G5259	among
G5260	suborn
G5261	example
G5262	en-ample
G5263	show
G5264	receive
G5265	bind on
G5266	shoe
G5267	guilty
G5268	ass
G5269	undergirt
G5270	under
G5271	feign
G5272	condemnation
G5273	hypocrite
G5274	answer
G5275	be left
G5276	winefat
G5277	leave
G5278	abide
G5279	put in mind
G5280	remembrance
G5281	enduring
G5282	think
G5283	surmising
G5284	sail under
G5285	blow softly
G5286	footstool
G5287	confidence
G5288	draw  back
G5289	draw back
G5290	come again
G5291	spread
G5292	subjection
G5293	be under obedience
G5294	lay down
G5295	run under
G5296	form
G5297	bear
G5298	go aside
G5299	keep under
G5300	sow
G5301	hyssop
G5302	come behind
G5303	that which is behind
G5304	want
G5305	afterward
G5306	latter
G5307	woven
G5308	high(-er
G5309	be highminded
G5310	most high
G5311	be exalted
G5312	exalt
G5313	height
G5314	gluttonous
G5315	eat
G5316	appear
G5317	Phalec
G5318	abroad
G5319	appear
G5320	evidently
G5321	manifestation
G5322	lantern
G5323	Phanuel
G5324	sight
G5325	pomp
G5326	spirit
G5327	valley
G5328	Pharaoh
G5329	Phares
G5330	Pharisee
G5331	sorcery
G5332	sorcerer
G5333	sorcerer
G5334	tidings
G5335	affirm
G5336	manager
G5337	evil
G5338	light
G5339	forbear
G5340	sparingly
G5341	cloke
G5342	be
G5343	escape
G5344	Felix
G5345	fame
G5346	affirm
G5347	Festus
G5348	attain
G5349	corruptible
G5350	speak
G5351	corrupt
G5352	whose fruit withereth
G5353	sound
G5354	envy
G5355	envy
G5356	corruption
